리뷰내용,별점,리뷰동조자수
"비슷한상품 6월에 나온다고 본것같은데... 지금은 또 8월에 나온다고 하네요..?? 비슷한상품찾으려고 앱을 깔았는데 한번도 사용못하고 
ㅠ.. 이러다 한 계절 지나겠어요.....ㅠ",3,0
비슷한 상품이 아직 안되는게 아쉬움 ㅜ 근데 브랜드랑 나눠져있어서 보기편하고 조음,4,0
여러 쇼핑몰이 모여있는거랑 세일정보는 충분한 장점,4,0
7월2일부터 새상품업데이트가 안되네요,4,1
보통리뷰안쓰는데 이앱ㄹㅇ좋음 써봐야 암 나도 여기서 옷4개째 삼,5,0
보세부터 브랜드까지 다 찾아볼 수 있어 정말 좋습니다,5,0
많은쇼핑몰가격을 한눈에 볼수있어서 편해요,5,0
갑자기 엄청 심하게 느려졌어요,5,0
비슷한 상품으로 더 싼 가격으로 살수있어서 좋아요,3,1
옷보기좋은앱인거같아서 좋아용,5,0
옷 검색하는데 유용해요,5,0
생각보다 더 좋아여,3,0
굿~편해요,5,0
짱조아요ㅜㅜ,5,0
재밌는 게임,5,0
굳,4,0
좋아요,5,0
굿,5,0
너무조음,5,0
좋아용!!!,4,0
좋아용,4,0
좋아용,4,0
자세히사용할수있게나와있어서 쉽고 찾아보기편리함.,5,0
소호랑 브랜드랑 같이 있어서 편함,5,0
최고~!,5,0
좋아요 만족합니다,5,1
짱조앙,5,0
좋아용,5,0
굳,3,0
좋음,5,0
빨리 비슷한옷 찾는기능이 되면좋겠네요 다 좋은데 계속 업데이트 기다리고있는데 언제 된다는건지..,4,0
여태까지 사용했던 앱 중 나는 이게 제일 좋음,5,0
관심있는 쇼핑몰 한눈에 간단히 볼수있어서 좋구요 관심상품 저장해놓고 비교하는데 좋네요^^,5,3
"쇼핑몰 들어가서 옷을 보면 한 줄에 옷이 3개가 뜨잖아요. 그런데 스마트폰으로 어플을 사용하다보니까 옷이 너무 작아서 눈이 아파요ㅠㅠㅠ 
한 줄에 옷이 2개이면 좋을 것 같은데, 각각 사람에 따라 느끼는게 다를 수 있으니 설정에서 각자 변경할 수 있도록 하면 좋을 것 
같아요!! 어플다 좋은데 비슷한 옷 찾기는 언제쯤 업데이트될까요? 대략적인 시일이라도 공지해주시면 좋겠어요.",5,0
여성 것만 많이 보이는데 남자건 어떻게 보는건가요? 신랑 옷도 봐주고싶은데 볼줄 몰라서ㅜㅡㅜ,4,0
"다 좋은데 비슷한상품보는거 언제까지 사용 못해요? 지금4월인가5월부터 6월달에 새로 업데이트된다해서 계속기다리고있는데 안되네요 언제쯤 
할수있나요",5,8
비슷한 옷 검색이 가능했다면 5개 줬을것같아요! 다양한 옷 검색이 편해서 좋아요~,4,0
"진짜 좋아요 이런류의 다른 어플보다 훨씬 편하고 뭔가 말로 표현 못할 그런게 있어요 ㅋㅋㅋㅋㅋ 다른 어플들은 몇일 쓰다가 지워버렸는데 
이건 쭉 잘쓰고 있네요 비슷한상품 기능 업뎃 언넝 해주세요 기다릴게용><",5,0
비슷한 옷 살펴보기만 빠른시일내에 되면 정말 좋을 것 같아요! 나머지는 괜찮아요,4,0
한눈에 맘에드는 쇼핑몰을 볼수잇어 좋숩니다 ㅎㅎㅎ,5,0
저알 잘 쓰다가 비슷한 상품 찾기 기능 업데이트 하느라 기다리는거 너무 힘들어요ㅜ 그만큼 이 앱에 비슷한 상품 찾기가 큰 역할 해요!,4,0
쓸만하네 다만 어플계정로 거래못하는게 아쉽,5,0
다 좋은데 빨리 비슷한 옷 찾기 업뎃되면 좋겠어요!,5,0
쇼핑앱으록 이게젤좋은듯ㅎㅎ,5,1
이앱 특징이 비슷한 옷 검색해주는 건데 언젠가 부터 안되네요 ㅜㅠ 6월달에 업데이트한다더니 아직인가봐용 ㅜㅠㅜㅠ 얼른 부탁드립니다!,3,7
여성 옷 쇼핑몰 중 가장 좋아요 브랜드랑 보세랑 둘 다 쇼핑할수 있는게 가장 큰 장점이라고 생각해요 진짜 완전 좋아요!!,5,0
가격비교하면서 옷고르기편한거같아요,5,0
괜찮은것겉아요 많잇0일하눈건아니지만 괜찮네요,3,1
여러 개의 브랜드가 섞여서 보여지게 하는 것 빼곤 괜찮은 것 같아요,4,1
한 눈에 옷 검색할 수 있어서 좋아요,5,0
다 좋은데 비슷한 상품 찾기가 빨리 되면 좋겠네요,3,0
저장공간좀늘려주세요,5,0
거의 모든 쇼핑몰들을 해 봤었지만 이 어플이 제일 좋은 것 같아요!! 앞으로도 더 예쁜 상품들 많이 올려주세요 😍❤,5,0
쇼핑몰을 모아줘서 좋은거같아요!! 가끔 먹통이긴 한데ㅜㅁㅜ 뭐 다른걸로 커버할 수 있으니까요!👍👍,5,5
"음ㅠㅠ 6월에 비슷한 상품 찾기 기능이 업그레이드 되서 온다길래 딱 기다렸는데 8월로 옮겨져서 속상해요 엉엉.. 
최대한...빨리........ 옷을 사입고 싶어요!!! 히히 빨리 해주시면 좋을 것 같구 좋은 앱 만들어주셔서 너무 감사드립니다 ㅎㅎ 
그리구 리뷰들 하나하나 다 답변해주시는 것도 쉬 일 아닐텐데 개발자님 너무 조아요히히",5,0
브랜드가 다 모아져서 있어서 보기 편해요~,5,0
"쇼핑몰을 간단하고 쉽게 한눈에 볼 수 있어서 좋은거 같아요~ 그런데 비슷한 상품 비교해보고 더 싸고 좋은 상품 보는 거는 언제 
가능한가요?",5,0
원하는 상품이랑 비슷한 상품을 저렴한 가격에 찾아볼수 있엉서 좋아요,5,0
한번에 볼수있어서좋아요 가격차이도 한번에 볼수있고,4,0
처음인데 사용하기 편리한것같아요~,4,0
배송비만 없엇다면 별5개,4,1
한번에 옷을비교할수있어서 좋아요,5,0
모든옷이잇다 여기 최고다,5,0
브랜드 상품도 같이볼수잇어서 좋아요,4,0
진짜 이거 인생앱 꼭 까세요,5,0
비슷한 상품 보는 기능은 언제까지 기다려야하나요...? 이제 6윌 말인데ㅠ,3,0
제품이 다양하게 많이있네요,4,0
비교상품 볼 수 있는 기능이 좋아서 이용하는데 지금 업데이트 중이라 하네요ㅠ 언제 다시 이용할 수 있나요?,4,0
생각보다 좋은거 같아요,5,0
모든브랜드가 있어서 이 왭 하나로 비교할 수 있어서 좋아요!!!,4,0
"말이 필요없음,너무좋아요",5,0
쇼핑몰을 모아져잇어서 편리하고 좋아서 엄청잘쓰고있어요♡♡♡,5,0
좋은 앱 감사합니다!,4,0
굉장히 편리한 앱인 것 같아요 !!!,5,0
엄청 잘 쓰고 있다가 방금 업데이트 하니까 어플 실행이 안 되네요 삭제했다가 다시 깔아도 계속 주황색 로딩 화면만 떠요ㅜㅠ,5,6
좋아요 찾기도편하고.,3,0
널디같은 브랜드 신상좀...,4,0
관심상품 추가하기가 잘 안될때가 많아요;;;,3,0
상품도 괜찮고 어플도 괜찮습니다^^,4,0
옷 고른는데 최고에요👍👍,5,0
이거 유사상품 찾아주는 서비스 6월에 업그레이드 한다는데 지금 6월인데 언제 되는건가요????????????? 빠른 답변 부탁드립니다,3,0
그냥 그저그럼,3,0
좋아요!,5,0
좋아요!,5,0
짱좋아뇽ㅎㅎㅎ,5,0
좋.다.,4,0
한눈에 보기좋네요,3,0
자주 쓰고있어용,4,0
브랜드별로보기좋아요,5,0
개꿀이요여요오오오,5,0
진짜 간편하게 찾을수있네요,5,0
괜찮네요!,5,0
좋아요 !!,5,1
전 이 앱이 좋습니다,5,0
좋아요저는~,5,0
굿!!,5,0
좋앙요,5,0
잘 쓰고 있어요,4,0
잘 쓰고있어요,5,0
광장히 좋아요,5,0
정확한거같아요,4,0
앱이 안들어가져요,2,0
짱짱 좋아요,5,1
짱죠아여,5,0
굳,5,1
굿이야,5,0
다좋아요,5,0
짱 조아요,5,0
짱좋아요,5,0
정말좋아요,4,0
진짜로 좋아요,5,0
좋아요,5,1
좋아요,5,1
굳,4,0
좋은것같습니다!,4,0
굿,5,0
좋아요,5,0
좋아요,5,0
좋아요,4,0
좋아요,4,0
좋음,5,0
좋아요,4,0
굿,4,0
굿,5,0
좋아요,5,0
좋아요,3,0
좋아요,4,0
좋아요,5,0
좋아요,5,0
좋음,4,0
굿,3,0
만족,5,0
괜찮네요,5,0
좋아요,5,0
좋아요,5,0
좋아요,5,0
좋아요,4,0
좋음,5,0
좋네요,5,0
굿,4,0
좋아요,4,0
넘 재밌어요~^^,4,0
좋네hh...,5,0
좋아용!,5,0
나쁘지 않아여,4,1
짱이에요,5,0
돟어영,4,0
너무 좋아용,4,0
너무좋아용,4,0
앵간하네요,4,0
너무좋아여,5,0
좋네여,5,0
👍🏿,5,0
",ㅇ",5,0
좋아여,5,0
좋아용,3,0
좋아용,5,0
짱,5,0
좋아여,5,0
좋아용,3,0
좋아여,5,0
😀,5,0
👍,4,0
"제 스타일이 아닌 브랜드나 옷종류는 삭제할수 있어서 다시는 추천에 안뜨는 기능이 있었으면 좋겠어요~ 또 즐겨찾기한 브랜드나 소호볼때 
전체신상품 나오게 하는 기능에 브랜드와 소호 각각 따로 분리해서 보이게 하는 기능도 있었음 좋겠습니다! 브랜드보다는 소호가 신상이 더 
빨리 업데이트되기 때문에 브랜드옷이 묻혀서 한눈에 보기가 어렵네요ㅠㅠ",4,10
브랜드별로 맘에드는 옷 찜해 놓고 봐서 보기도 편하고 효울적인것같아서 좋아요♡,5,0
"인터넷에서 검색하면 원하는 스타일의 옷을 보유하고 있는 쇼핑몰이 많이 안나와서 찾기도 힘들고 비싸기도했는데 확실히 여기선 쇼핑몰을 내가 
원하는 필터대로 볼수있고 원하는것도 한 눈에 찾아서 좋아요 가격비교도 확실히 할 수있구요♡",5,6
제가 진짜 거의 모든 옷관련 앱 다 써봤는데 이게 제일 편하고 제일 유용해요 이거 밖에 안써요 요즘 ^^,5,0
최저가찾아주는건 아직 안해봐서 잘모르겠고 항목별 베스트상품들이랑 상품검색기능은 좋은거같아요. 근데 찾는상품이 안나올때가 많네요ㅠ,4,3
비슷한상품보기 기능 빨리 마무리해주세요ㅠ 이것땜에 깔았는데,3,0
너무너무좋은데가끔없는쇼핑몰땜에아쉽네요 그런데나머지는다좋아요,4,0
배송시간도 매우빠르고 디자인 들이 이쁜것들이많아 자주이용합니다 굿굿~,5,0
6월부터 가격비교를 할 수있다면 정말 완벽한것같아요!,4,0
좋다 요일보다 좋다. 근데 브랜드 제품 보충은 시급한듯...의외로 유명한 브랜드들도 업뎃 미비,5,0
시간 때울때나 아이쇼핑할 때 좋아욯ㅎㅎ,5,0
비슷한옷 비교하는 부분 업뎃해주세용ㅠㅠ,4,4
여러가지 쇼핑몰을 비교하고 브랜드도 같이 볼수있어서 좋아요,4,0
"다양한 쇼핑몰 구경도 가능하고 비교도 가능하고 즐겨찾기품목 신상도 제때제때 볼수 있는 많은 장점들이 있는 앱인갓 같아요 !! 
감사합니다~ :)",5,0
다 좋은데 비슷한상품 왜 이거 안돼요?? 6월부터 돼는거에요?? 이것때메 깔았는데 빨리좀 업뎃해주세여,4,13
진짜좋은것같아요..! 한눈에 보기도 쉽고 근데 안좋은점은 텅장이 된다는점..ㅠ,5,0
옷잘못이 옷에 알아가는 계기를 만들어주게하는 앱인듯해여!! 옷사는게 편해지니깐 옷잘못탈출이 가능해지는듯!!,4,0
모여있어서 조아요 브랜드보기에는 짱이네요,5,0
여러 쇼핑몰을 한눈에 볼 수 있어서 좋았습니다,5,0
후기남기 상품찜하는거 더 많이 할수있어서 함,3,0
이앱 쓰다가 다른앱 썼는데 이 앱이 짱인듯 꼭 깔으세요,4,13
옷구경하는거 재미있네요ㅎㅎ,4,0
비슷한 상품 찾기 기능이 좋아요!,4,0
다른 앱보다 괜찮은것 같아요.,5,0
좋아요 비교상품 얼른됐음 좋겠어요,4,0
옷검색하기도좋고 편해요,4,3
한번에 정리가잘되있어서 편해요,5,0
더 보기 쉽게 해주셨으면 좋겠습니다,4,0
앱이 간퍈하고 좋네요,5,0
상품도 다 괜찮고 좋음,5,0
비슷한상품찾기가있어 더 싸게 구매할수있는데 요즘은 비슷한상품 찾기도안나오더라고요 아예누르지도못하게 해놨던데 찾기가 힘든건가요,4,0
"그 브랜드가 어떻게 생겼는지는 알았는데 이름이 먼지 몰랐던 브랜드가 많아서 알방법이 없었는데 이앱에 내가 알고싶었던 이름의 브랜드들이 
한방에 모여있어서 잘 찾을 수 있었어여",4,0
다른앱에서 이걸로 갈아탓는데 이게 캡짱이에요 다들 이거쓰세여 !!!!!@@ 진짜좋아요,5,0
초간단 회원가입도 했는데 쇼핑몰에서 구매할때 비회원으로 해야되는건가요 ?,4,0
빠륵게 원하는것을 찾을수 있어서 좋네요^^,4,0
다른곳보다 좋음추천 존좋앱 !!,5,0
매장보다싸서 좋아요❣💟❣,4,0
잘모르겠음 솔직히..........,2,0
모아서 보니까 편하고 좋네요,3,0
옷 구경하기 좋다,5,0
좋아요!!!,5,0
진짜 좋아요~^^,5,0
넘 조아요♥,5,0
좋아요!!,5,0
말안해도 최고 ㅇㅈ? ㅇ ㅇㅈ~~,5,0
갠차늠,4,0
개좋아유,5,0
브랜드 많아서 좋아요,4,0
굿 좋아료,4,0
👍좋아요,5,0
나쁘지 않은거 같아요,4,0
느무좋네여,5,0
너무 좋아요,4,0
너무좋아요,5,0
좋아유,5,0
좋음,5,1
굳,5,0
굳,3,0
오케이~쪼아요,5,0
굿,5,0
좋아요,5,0
좋다,5,0
좋아요,5,0
좋음,5,0
좋아요,5,0
좋아요,5,0
좋아요,5,0
굿,3,0
좋아요,4,0
굿,5,0
굿,5,0
짱좋아여,5,0
좋네여,5,0
진짜진짜 좋아용,5,0
👍🏻,5,0
좋아여,3,0
좋아여,5,0
좋아여,5,0
good,5,0
Good,3,0
짱,4,0
비슷한 옷 찾아준대서 깔았는데 그닥 기능을 잘 하는지 모르겠음. 다 너무 고가만 찾아주고 모르겠네용,3,0
룩북 없애지 마세오 ㅠㅠㅠㅠ 제발 ㅠㅠㅠㅠ 저 진짜 필요해요 ㅠㅠㅠ 룩북없어지더라도 비슷한 게 있으면 좋겠어요 👍👍,5,0
자동으로 찾는것이어서 그런지 정확도가 많이 안 좋아요,3,0
제품비교기능이 메리트있는 거 같아요,4,0
여기 설명등은 잘 나와있는데 분명 장바구니로 상품을 옮겼는데 장바구니라는 단어자체가 마이페이지에 안떠서 불편하지만 구매하는데는 좋네요~,5,7
평소에 인터넷 쇼핑몰 잘 구경하는 편인데 비슷한 상품 비교해보면서 더 싸게 잘샀습니다!!,5,0
좋은득 앱도 깔끔해서 보기쉬움,4,2
브랜드도 나와있고 좋아요 앞으로도 많이 업데이트 되면 좋겠어요,5,1
비슷한 제품을 싸게 얻을 수 있어서 조음,5,0
마음에 드는옷 찜햇다가 나중에 모아서 보기 편한거 같아요,5,0
옷 찾기가 너무 편해요,5,2
비슷한옷 찾아주는 기능때문이 깔았는데 잘 인식 못할때도 있고 그래서 약간 실망스러워요,3,6
좋음 다른 앱보다 더 갈끔함,5,0
여러상품을 한번에 볼수있어 좋다,5,0
제품이 안뜨는 쇼핑몰이 있는거 빼고는 좋아요,3,0
비슷한 옷 찾아주는 기능 좋아요,4,0
비슷한 옷을 찾아준대서 깔았는데 맘에 쏙둘게 검색해주는건 아니나 유용하긴 하네요,4,17
브랜드별로 쇼핑몰별로 모여있어서 좋음,5,0
이쁜 옷이 많아서 좋아요,4,0
좋기는한듯 세일정보도 알수있고....,3,0
비슷한 옷찾기가 어드있는지 모르겠어요...,3,0
완전 편하고 좋아요!! 완전 추천!!,5,0
잘쓰고있어용,4,0
깔끔하게 정리되있어서 괜찮음,5,0
짱 조아요 ^~^~^,5,0
옷 찾기 좋음,5,0
좋네요ㅗㅎ,5,0
좋음.,3,0
좋음><,5,0
옷찾기 너무 편해요,4,0
좋아요~~,5,0
정말좋아요,5,0
아주 조아요,4,0
최고 좋아요,5,0
좋아요,4,0
좋아요,4,0
좋아요,5,0
좋아요,5,0
좋아요,4,0
좋아요,5,0
좋아요,5,0
좋음,5,0
좋음,5,0
좋아요,5,0
너무 좋아용,4,1
갠차나용,3,0
Very good,3,0
좋아용,5,1
좋아용,4,0
"깔끔하고 다양하고 방대해서 좋아요. 하지만 네이버 쇼핑처럼. 모뎅은 겾치지 않게 정리해주시고 모델 선택 뒤 다양한 가격과 사이즈를 
볼수있게해 업뎃하시면 엄청날듯합니다",5,0
"브랜드의 신상품이올라올때마다 알람을 받을수있다는점이 정말좋아요 ! 하지만 비슷한옷찾기 기능은 별로 비슷한옷이나오지않아서 
도움이되진못하는것 같네요..ㅠ",5,4
패션브랜드와 쇼핑몰을 한번에 볼 수있고 무엇보다 비슷한상품이라는 메뉴가 있는 점이 좋아요!,5,1
진짜 옷 아름 모르는데 찾으면 바로나오ㅓ서 개꿀 ㅠㅠㅠㅠㅠㅠㅠㅠ 싼 사이트도 찾아줌 ㅠㅠㅠ,5,0
모든상품을볼수잇ㅇㅓ서 한군데 샵에서만몰빵해서 안사도된다 굳,5,0
어플 정말 좋은거 같아요! 브랜드옷과 쇼핑몰이 같이 있어서 너무 좋아요!!,4,0
장바구니에 넣고 결제하면 쇼핑몰이 달라도 알아서 주문되는 기능이 있다면 너무 좋겠어요,4,0
쇼핑하기 편하게 정리가 잘되어있음,5,0
브랜드 신상을 바로바로 알수 있어 편리해요,5,0
좋아옇 유용하게 쓰겠습니당,4,3
보기 편하게 정리가 잘되있어서 좋아요!! 딱 제가 찾던 거예요,5,0
나름 괜찮은 앱인 것 같아요!,3,0
쇼핑물들이랑 비교할수있어서 좋아요,5,0
다양하게 살펴볼수있어서 굿,4,0
너무 이쁜게 많아서 좋아요!!,5,0
간단히 비교할수있어서 좋은것같아요!!,5,0
귀걸이차즐때넘조아요찾기힘든데!!,5,0
짱짱이에욥ㅎㅎ,5,0
한마디로 걍 굿,5,0
유용하게 쓰고있습니다,5,0
만족합니다 좋네요 ㅎㅎㅎ,5,0
괜찮은것같아요,3,0
So far so good,5,0
너무죠아툐,4,0
쨩조아요,5,0
좋아요~~~~,5,0
좋아요,5,1
좋아요,4,0
좋음,5,0
좋다,5,0
좋아요,5,0
좋아요,5,0
좋아요,5,0
좋아요,5,0
좋아요,5,0
굳굳,4,0
좋아요,4,0
체고,5,0
좋아여,4,0
좋아여,5,0
👍👍,5,0
종류 많이볼 수 있어서 좋은데 농구화 코비 없어요,5,0
제품찾기가 넘 편해서 좋아오~,5,0
이거 있으면 필요한거 빨리찾을수있음,5,0
브랜드별로 잘 나와있어서 조아요!,5,0
쇼핑몰이 다 모여있어서 보기 편해요,4,0
한눈에보기좋아요!,4,0
진짜 편하고 좋아요!,5,0
생각보다 괜칞네용,3,1
자주 보지는 않지만 좋아요,3,0
옷잘볼수있어서 좋아요,5,0
편하고 좋아요~,4,0
정말 좋아요☆^^☆,5,0
좋ㄴ,5,0
최고입니다진짜,5,0
좋아요~,5,0
좋음.,4,0
정말 좋아요,5,1
만족합니당,4,1
개좋음,4,0
너무좋네요,5,0
개좋다,5,0
좋아요,5,0
좋아요,5,0
좋아요,5,0
goob,4,0
좋아용,4,0
가격비교하기쉽고 비슷한상품찾아보기 좋은것같아요!,4,0
옷 뭐입어야할지 모르겠을 때,5,0
앱깐지얼마안됐는데 맨날이거만봐요 사랑해용,5,0
걍 닥치고 잘 쓸게요♥,5,0
꽤 좋음,4,0
좋네요,5,0
좋아요,5,0
좋아요,5,0
좋아요,5,0
너무 좋당,5,0
앵간,3,0
한곳에서 모아 볼수 있어서 진짜 좋은거같아요 ㅋㅋㅋ 넘조아요,4,4
좋아요 감사합니다 만들어주셔서 만드시느라 고생많으셨겠어요 앱 잘쓸께요!!,4,2
많은 제품들을 한번에 볼수있어서 좋은것 같아요,4,0
레알굳bb,5,0
굿굿,5,0
좋아요,4,0
좋아요,5,0
좋아요,3,0
good,5,3
여성 남성을 굳이 골라야하는 이유를 모르겠네요 그리고 별로 찾고싶은것도 안찾아지고..별로에요,1,5
앱도 복잡하지 않고 심플하고 한 눈에 상품들을 볼 수 있어서 좋아요😄,5,0
브랜드들이 많아서 자기취향대로 고를수 있어서 너무 좋은거같고 이게 진정한 멀티샵이 아닌가 생각이 드네요! 이 어플에서 아이쇼핑하다가 밤새는중 입니다ㅎㅎ,5,7
제가 딱 찾던 쇼핑앱입니다! 이렇게 정리 딱딱 되어있고 한눈에 들어오는 어플 찾고 있었어요ㅠ,5,0
요즘 인터넷으로 옷을 사려고 하는데 이 어플 덕분에 도움이 되고 있어요!!,5,0
여러 쇼핑몰 찾아다니면서 찾는 것보다 한 눈에 모아서 볼 수 있으니 시간 절약되고 비슷한 상품도 찾을 수 있어 좋네요!!,4,13
비교하며 원하는 아이템 찾을때 굿입니다👍,4,0
여러브랜드들중 맘에드는 옷을 찾을 수 있다는게 좋은것같네요,4,5
비슷한 옷 찾는 기능 있어서 좋은 것 같아요,5,0
갖고싶은 물건을 잘 찾을수 있어서 좋다,5,0
옷의 브랜드가 여러가지라 고르기 참 편하네요,5,0
많은 옷가게들을 모아놓아서 한번에 보기 편한거 같아요,5,0
원하는 옷을 쉽게 찾을 수 있어서 좋은것 같습니당,5,0
깔아놓고 처음 켜서 구경하는데 쇙장히 좋은거같아요,5,0
잘모르겠는데 일단좋은듯ㅎ,5,0
이 앱 정말 좋은거 같아요!!이런 좋은앱 만들어주셔서 감사합니다!!,4,1
사진찍어서직접 비슷한옷 찾는기능도추가되면 대박날듯,3,0
사이즈가 여러개라 너무 좋은 것 같아요 브랜드별로 고를 수도 있고 남 여 다 있어서 좋네요,5,1
좋아요 빨리 가방 악세사리도 업데이트 해주세요,5,0
넘흐좋음 이쁜거 찾기더 쉬움,5,0
가격비교하기 딱 좋아요,4,1
간편히 모아 보는게 좋은것 같아요,4,0
옷들 관리할수있어서 좋아요,4,0
진짜 짱입니다ㅠ 왜 이앱을 모르고 살았는지...,5,1
잘사용하고있습니다!,5,1
진짜 좋습니당!,5,0
쇼핑몰이 한꺼번에 모여있으니 편하고 좋아요!!!,5,0
좋은거같아요 !,5,0
완전 좋아요!,5,0
한 번에 모아져서 짱,5,0
좋아요!!!,5,0
완전 좋아요☺☺,5,0
진짜 좋아요 ㅎ,5,0
좋아요~,4,0
좋아ㄴ여,5,0
너무좋아요,4,0
너무조아요,4,0
짱좋아요,5,0
좋아요,5,2
♥♥,4,0
좋아요,5,0
좋아요,5,0
좋네요,5,0
좋아요,5,0
좋음,4,0
좋아요,5,0
이거 다 짭임?,3,0
그냥 good,5,0
좋아욤,5,0
좋아여,5,0
여기서 찾아보가가 다른데 찾아보니 더 싼게 있긴한데 엄창 소수고..엄청 괜찮아요,4,0
다 통합으로 관심상품 저장할수있어서 좋아요!,5,0
왜 계속 네트워크접속안된다그러죠? 지금 깔앗다지웟다만 6번째에요진짜 답답하네,2,5
브랜드 신제품 알람을 받을 수 있다는 게 너무 좋다,5,2
더 편하게 쇼핑할수있어서 좋은거같아요 ❤,4,0
진짜 정리도 잘 되어있구 입고 싶은 옷을 빨리 쉽게 볼수있어서 너무너무 좋은것같아요,5,0
여러 상품 한눈에 보기 좋음👍,5,0
이쁜옷 많이 다양하게 볼수있음❤❤❤,5,0
짱짱맨,5,0
좋아영,5,0
좋아요,5,0
좋아요,5,0
좋다,5,0
좋은것같아요 ^.^,5,1
아주 좋아용,5,0
"너어어어어엉어어어어어무느려요ㅠㅠㅠㅠㅠㅠㅠㅠㅠ 보다가 화딱지나서 지워버리고싶은데 이쁜옷도많고 페북광고보고다시깔았는데 역시나 
거어어어어업내느려요 ....",2,2
스타일 탓컴👍👍,5,0
아 너무좋늡니다,5,0
완전 좋음,5,1
완전 좋아용,5,0
괜찮네요,4,2
좋습니다,5,0
다른것들은 다른 쇼핑몰 모아둔 앱들과 비슷한데 비슷한옷 찾기가 있어서 좋은것 같아요 정말 비슷한것은 찾기하면 몇개 안되지만 더 이쁜것들을 찾을수도 있어서 마음에 드네요:&gt;,5,2
좋아요!! 이거랑 비슷한 앱 두개 더 있는데 이 앱도 그 둘 못지않게 꽤나 잘 쓸거같아요,4,0
비슷한 상품 검색하는게 너무 느려서 슬퍼요ㅜㅠㅠ조금만 더 빠르게 바로 검색되면 더 좋을 것 샅아요,4,4
가격이낮은곳을알려줘서싸게잘살수있어용,5,0
맨날 눈팅만 하지만 괜찮은거같아요,3,0
옷구경하고 구입도하고 좋아요,4,1
진짜 너무 좋아요 !! 옷살때마다 사용하고 있어요♡,5,0
개좋음👍💧💙 그냥 완전 추천임,5,6
이거 지금나만안되는건가??? 브랜드하나도 안뜨네,2,5
짱 조음♡♡,4,0
좋음,4,2
좋아요,5,0
비슷한 옷을 찾는 기능이 정확도가 좀 더 높았으면 좋겠어요~,3,1
생각보다 더 저렴하고 다양한 상품을 비교하고 볼 수 있어 좋아요!,5,2
좋아요오~!!,5,0
완전좋아요ㅠ,5,2
좋아요,3,0
좋아요,5,0
좋아요,4,0
"와 퀄리티가 달라졌네요,, 최애브랜드 디스이즈네버댓 까지 있는거보고 감탄해서 댓답니다 파이팅하세요",5,1
아직 많이 써보지는 않았지만 브랜드와 보세옷도 같이 볼수있다는점이 좋습니다 게다가 ㅈㄱㅈㄱ랑 달리 홈페이지로 타고 들어가는것도 아니고 가게??수도 많아서 좋은거같아요 다른 앱에서는 너무 적어서 조금 보면 끝나서 아쉬웠는데 여기는 많아 보여서 좋네요!,4,17
완전 편함 기능도 간편하고 지금까지 본 쇼핑몰앱 중에선 이게 깔끔하고 젤 좋은것 같아요 와파도 데이터도 다 엄청 빠르게 잘 됨 이게 젤 좋아요 하트뿅♡,5,0
너무 좋아요!!지그재그에 가려져서 몰랐던 앱인데 더 좋아요ㅠㅠㅠ세일하는거만 모으는 기능도 있으면 좋을것같아요~,5,0
비슷한 상품찻을때 다른 쇼핑몰에서 똑같은데 더싼거 봤는데 여기서 비슷한상품찻기햇을때는 전혀다른 상품이 나와서 좀;;,4,2
이 어플 다른 어플로 일일이 찾아보기 귀찮았는데 이렇게 한곳에서 한꺼번에 모아서 보여주니 참 편하네요 ! 앞으로 이 어플 잘 애용하겟숨다,4,0
앱이깔끔하고 좋아요 얼른 악세사리류도 비슷한 상품찾기됐으면 좋겠어요 ㅎㅎ,5,0
완전 좋아요..ㅠㅠㅠㅠ 이 앱 깔라고 톡도 지웠는데 그 값해요 ㄹㅇ 좋음,5,1
"페북에서 보고 깔고 홀려서 계속 보고있는중이에요ㅜㅜ 쇼핑몰 연결 앱 깔아본게 열댓개는 되는데 그중 가장 편리한 듯 하네요 당분간 이것만쓸듯,,",5,0
좋와요  ㅈㄱㅈㄱ에서  갈아탓습니다 선생님! 앞으로 출석체크이벤트같은걸해도 좋을거같습니다ㅎㅎ 좋은앱 감사해요,5,67
갠찮응 어플인것 같아요 잘쓰고 있습니당,4,0
다좋은데 비슷한 상품나오는거에서 싼 가격순으로 나오면 좋을것같아요!비슷한 상품찾는게 더싼것을사려는 것이니까 이렇게하면 더좋을것같습니다!앱은 정말좋아요ㅠ,4,63
속도가 느린편이긴 한데 내용은 알차요,5,0
흐흐 넘조아용 지*재그보다도 좋ㅇ은거같기도 해용 비슷한상품찾기 기능은 혁명이에용ㅜㅜ 개발자님 사룽함둥♡♡,5,1
친구 추천 받아서 이 앱 쓰게 됫는데 너무 좋아여 상품들 보기도 편하고 원하는 부분만 보는게 너무 좋아여!!!,5,1
개인적으로 다 좋았는데 상품 검색을하고 구경할때 싼 가격순해서 품목이 나오면 좋겠어요 !,4,0
좋아요 ㅎㅎ 근데 비슷한상품찾기에서 하나도 안비슷한게 나오는거도 몇개잇어요ㅠㅠㅠ,5,0
다 모여있어서 일일이 네이버에다가 검색안해도 되서 정말 편리한거 같아요!!,5,0
